station_name,station_geo,capacity,total_activity,count
 Place Léon Gambetta,"48.81461,2.40293",26,5224.0,7866
Place de l'Insurrection d'Août 1944 ,"48.81478,2.39807",30,8740.0,7866
Ecole Vétérinaire,"48.81489,2.42244",36,6646.0,7866
Vanne - Général de Gaulle,"48.81501,2.32832",25,924.0,2385
Marne - Charles de Gaulle,"48.81507,2.41217",27,8290.0,7866
Place Mongolfier,"48.81516,2.45929",39,3878.0,7866
Guy Môquet - Etienne Dolet,"48.81527,2.29808",23,6408.0,7866
Estienne d'Orves - Henri Ginoux,"48.81539,2.32089",31,5118.0,7866
Verdier - République,"48.81540,2.31739",29,6646.0,7866
Barbès - Monique Maunoury,"48.81553,2.36872",40,8381.0,7866
Charles Frérot - Albert Guilpin,"48.81558,2.35050",30,7969.0,7866
Danielle Casanova - Ledru-Rollin,"48.81578,2.38326",28,9838.0,7866
Pierre et Marie Curie - Maurice Thorez,"48.81580,2.37680",27,8559.0,7866
Verdier - Jean Jaurès,"48.81614,2.31236",33,6521.0,7866
Mazagran - Pierre de Coubertin,"48.81622,2.34423",15,4381.0,7866
Larmeroux - Baudelaire,"48.81694,2.28099",30,5371.0,7866
Louis Rolland - République,"48.81711,2.31931",26,8426.0,7866
Porte d'Italie,"48.81716,2.36024",13,4877.0,7866
Amaury Duval - Gabriel Péri,"48.81719,2.32384",36,4371.0,7866
Cimetière Communal,"48.81770,2.26093",24,3589.0,7866
Pierre Brossolette - 12 Février 1934,"48.81770,2.30761",25,6942.0,7866
Pont De Charenton,"48.81797,2.41995",18,5652.0,7866
Louis Lejeune - Barbès,"48.81807,2.32670",25,5671.0,7866
Lucie Aubrac - Fort,"48.81814,2.27118",30,3367.0,7866
Place Tony de Graaff,"48.81816,2.24581",42,5123.0,7866
Place Jean Ferrat,"48.81849,2.37442",25,7490.0,7866
Gare SNCF Vanves-Malakoff,"48.81900,2.29215",51,6822.0,7866
Westermeyer - Paul Vaillant-Couturier ,"48.81912,2.39666",25,11411.0,7866
Saint-Vincent - Verdun,"48.81921,2.25401",34,5940.0,7866
Gare de Bellevue,"48.81924,2.22953",20,1840.0,7866
Place du 14 Juillet,"48.81927,2.30120",22,5288.0,7866
Jules Guesdes - Général de Gaulle,"48.81931,2.27893",24,3377.0,7866
Jourdan - Stade Charléty,"48.81943,2.34334",60,9875.0,7866
Jourdan - Cité Universitaire,"48.81990,2.33970",39,9500.0,7866
