station_name,station_geo,capacity,total_activity,count,nearest_station,dateOuverture
Place d'Italie - Vincent Auriol,"48.83148,2.35676",40,13186.0,7866,"{'code': 13010, 'codeStr': 13010, 'name': ""Place d'Italie- Vincent Auriol"", 'dateOuverture': '2018-07-03', 'state': 'Operative', 'nbBike': 3, 'nbEbike': 7, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 30, 'nbEDock': 0, 'latitude': '48.83155760000000', 'longitude': '2.35679600000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83155760000000,2.35679600000000'}",2018-07-03
Mouton Duvernet - Général Leclerc,"48.83163,2.32931",39,9424.0,7866,"{'code': 14008, 'codeStr': 14008, 'name': 'Mouton Duvernet - Général Leclerc', 'dateOuverture': '2018-05-09', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 26, 'nbEDock': 0, 'latitude': '48.83163251829257', 'longitude': '2.32931211590767', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83163251829257,2.32931211590767'}",2018-05-09
Alésia - Suisses,"48.83168,2.31499",47,11012.0,7866,"{'code': 14201, 'codeStr': 14201, 'name': 'Decrès - Alésia', 'dateOuverture': '2023-02-28', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 28, 'nbEDock': 0, 'latitude': '48.83220006075900', 'longitude': '2.31390701515750', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83220006075900,2.31390701515750'}",2023-02-28
Fief - République,"48.83171,2.25577",25,5109.0,7866,"{'code': 21027, 'codeStr': 21027, 'name': 'Fief - République', 'dateOuverture': '2019-03-28', 'state': 'Operative', 'nbBike': 2, 'nbEbike': 4, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 18, 'nbEDock': 0, 'latitude': '48.83217500000000', 'longitude': '2.25529900000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83217500000000,2.25529900000000'}",2019-03-28
Place d'Italie - Soeur Rosalie,"48.83191,2.35469",52,11918.0,7866,"{'code': 13008, 'codeStr': 13008, 'name': ""Place d'Italie - Soeur Rosalie"", 'dateOuverture': '2018-01-22', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 2, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 50, 'nbEDock': 0, 'latitude': '48.83199636916928', 'longitude': '2.35480947270066', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83199636916928,2.35480947270066'}",2018-01-22
Terroirs de France - Lheureux,"48.83212,2.38862",55,4954.0,7866,"{'code': 12153, 'codeStr': 12153, 'name': 'Terroirs de France - Lheureux', 'dateOuverture': '2019-03-22', 'state': 'Operative', 'nbBike': 33, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 21, 'nbEDock': 0, 'latitude': '48.83164300000000', 'longitude': '2.38825100000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83164300000000,2.38825100000000'}",2019-03-22
Porte de Versailles,"48.83215,2.28715",24,6851.0,7866,"{'code': 15203, 'codeStr': 15203, 'name': 'Porte de Versailles', 'dateOuverture': '2022-08-17', 'state': 'Operative', 'nbBike': 9, 'nbEbike': 4, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 14, 'nbEDock': 0, 'latitude': '48.83232401665700', 'longitude': '2.28756173490450', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83232401665700,2.28756173490450'}",2022-08-17
Silly - Louis Blériot,"48.83219,2.23402",23,6646.0,7866,"{'code': 21011, 'codeStr': 21011, 'name': 'Silly - Louis Blériot', 'dateOuverture': '2019-03-19', 'state': 'Operative', 'nbBike': 18, 'nbEbike': 3, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 2, 'nbEDock': 0, 'latitude': '48.83256900000000', 'longitude': '2.23386300000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83256900000000,2.23386300000000'}",2019-03-19
Billancourt - Général Leclerc ,"48.83226,2.23804",22,6492.0,7866,,
Parc Georges Brassens - Brancion,"48.83228,2.30226",29,8145.0,7866,"{'code': 15046, 'codeStr': 15046, 'name': 'Parc Georges Brassens - Brancion', 'dateOuverture': '2018-06-26', 'state': 'Operative', 'nbBike': 3, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 25, 'nbEDock': 3, 'latitude': '48.83227829269761', 'longitude': '2.30225700885057', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83227829269761,2.30225700885057'}",2018-06-26
Dunois - Clisson,"48.83229,2.36745",51,10191.0,7866,"{'code': 13043, 'codeStr': 13043, 'name': 'Dunois- Clisson', 'dateOuverture': '2018-05-28', 'state': 'Operative', 'nbBike': 2, 'nbEbike': 2, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 47, 'nbEDock': 0, 'latitude': '48.83229400000000', 'longitude': '2.36745230000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83229400000000,2.36745230000000'}",2018-05-28
Pirogues de Bercy - Libourne,"48.83231,2.38637",49,3794.0,7866,"{'code': 12034, 'codeStr': 12034, 'name': 'Pirogues de Bercy - Libourne', 'dateOuverture': '2018-06-18', 'state': 'Operative', 'nbBike': 35, 'nbEbike': 10, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 3, 'nbEDock': 0, 'latitude': '48.83230800000000', 'longitude': '2.38637000000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83230800000000,2.38637000000000'}",2018-06-18
Nationale - Vincent Auriol,"48.83253,2.36235",33,10591.0,7866,"{'code': 13017, 'codeStr': 13017, 'name': 'Nationale - Vincent Auriol', 'dateOuverture': '2018-01-01', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 7, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 24, 'nbEDock': 0, 'latitude': '48.83252708397293', 'longitude': '2.36235441039212', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83252708397293,2.36235441039212'}",2018-01-01
Mairie du 14ème,"48.83255,2.32549",32,10709.0,7866,"{'code': 14032, 'codeStr': 14032, 'name': 'Mairie du 14e', 'dateOuverture': '2018-03-26', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 3, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 29, 'nbEDock': 5, 'latitude': '48.83254578122993', 'longitude': '2.32549231499434', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83254578122993,2.32549231499434'}",2018-03-26
Chevaleret - Louise Weiss,"48.83259,2.37121",35,10391.0,7866,"{'code': 13015, 'codeStr': 13015, 'name': 'Chevaleret - Louise Weiss', 'dateOuverture': '2018-04-12', 'state': 'Operative', 'nbBike': 10, 'nbEbike': 0, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 24, 'nbEDock': 0, 'latitude': '48.83257071803800', 'longitude': '2.37123198668192', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83257071803800,2.37123198668192'}",2018-04-12
Dôme - République,"48.83268,2.25026",25,5956.0,7866,"{'code': 21022, 'codeStr': 21022, 'name': 'Dôme - République', 'dateOuverture': '2019-03-05', 'state': 'Operative', 'nbBike': 16, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 5, 'nbEDock': 0, 'latitude': '48.83268100000000', 'longitude': '2.25025700000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83268100000000,2.25025700000000'}",2019-03-05
Halle Freyssinet - Parvis Alan Turing,"48.83285,2.37114",23,4685.0,7866,"{'code': 13051, 'codeStr': 13051, 'name': 'Halle Freyssinet-Parvis Alan Turing', 'dateOuverture': '2018-11-02', 'state': 'Operative', 'nbBike': 4, 'nbEbike': 2, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 17, 'nbEDock': 0, 'latitude': '48.83297480000000', 'longitude': '2.37115010000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83297480000000,2.37115010000000'}",2018-11-02
Franquet - Labrouste,"48.83288,2.30676",37,8331.0,7866,"{'code': 15041, 'codeStr': 15041, 'name': 'Franquet - Labrouste', 'dateOuverture': '2018-02-21', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 0, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 35, 'nbEDock': 0, 'latitude': '48.83287705011431', 'longitude': '2.30676278471947', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83287705011431,2.30676278471947'}",2018-02-21
Cardinal Lavigerie,"48.83293,2.40264",46,8133.0,7866,"{'code': 12113, 'codeStr': 12113, 'name': 'Cardinal Lavigerie', 'dateOuverture': '2018-03-15', 'state': 'Operative', 'nbBike': 21, 'nbEbike': 5, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 20, 'nbEDock': 0, 'latitude': '48.83293419369984', 'longitude': '2.40263674939916', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83293419369984,2.40263674939916'}",2018-03-15
René Coty - Place Denfert-Rochereau,"48.83306,2.33294",36,11289.0,7801,"{'code': 14005, 'codeStr': 14005, 'name': 'René Coty - Place Denfert-Rochereau', 'dateOuverture': '2018-04-05', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 32, 'nbEDock': 0, 'latitude': '48.83316726722363', 'longitude': '2.33271583914757', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83316726722363,2.33271583914757'}",2018-04-05
Morillons - Dantzig,"48.83310,2.29938",52,6374.0,7866,"{'code': 15047, 'codeStr': 15047, 'name': 'Morillons - Dantzig', 'dateOuverture': '2018-10-31', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 4, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 47, 'nbEDock': 0, 'latitude': '48.83317900000000', 'longitude': '2.29928200000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83317900000000,2.29928200000000'}",2018-10-31
Enfants du Paradis - Peupliers,"48.83312,2.25715",40,7313.0,7866,"{'code': 21021, 'codeStr': 21021, 'name': 'Enfants du Paradis-Peupliers', 'dateOuverture': '2018-04-09', 'state': 'Operative', 'nbBike': 15, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 23, 'nbEDock': 0, 'latitude': '48.83298254367628', 'longitude': '2.25697662681341', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83298254367628,2.25697662681341'}",2018-04-09
Saint-Jacques - Tombe Issoire,"48.83321,2.33691",24,9054.0,7805,"{'code': 14006, 'codeStr': 14006, 'name': 'Saint-Jacques - Tombe Issoire', 'dateOuverture': '2018-04-05', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 21, 'nbEDock': 0, 'latitude': '48.83320633053886', 'longitude': '2.33691081404686', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83320633053886,2.33691081404686'}",2018-04-05
Bara - Henri Farman,"48.83322,2.26776",36,4385.0,7866,"{'code': 21308, 'codeStr': 21308, 'name': 'Bara-Henri Farman', 'dateOuverture': '2018-09-10', 'state': 'Operative', 'nbBike': 18, 'nbEbike': 2, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 36, 'nbEDock': 0, 'latitude': '48.83305380000000', 'longitude': '2.26779030000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83305380000000,2.26779030000000'}",2018-09-10
Parc Suzanne Lenglen,"48.83325,2.27654",52,12750.0,7866,"{'code': 15125, 'codeStr': 15125, 'name': 'Parc Suzanne Lenglen', 'dateOuverture': '2018-07-05', 'state': 'Operative', 'nbBike': 28, 'nbEbike': 4, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 20, 'nbEDock': 0, 'latitude': '48.83321900000000', 'longitude': '2.27663000000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83321900000000,2.27663000000000'}",2018-07-05
Place Marcel Sembat,"48.83329,2.24417",56,8530.0,7866,"{'code': 21017, 'codeStr': 21017, 'name': 'Place Marcel Sembat', 'dateOuverture': '2018-03-22', 'state': 'Operative', 'nbBike': 25, 'nbEbike': 2, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 27, 'nbEDock': 0, 'latitude': '48.83353185698138', 'longitude': '2.24419087171555', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83353185698138,2.24419087171555'}",2018-03-22
Boyer-Barret - Raymond Losserand,"48.83330,2.31734",23,6790.0,7866,"{'code': 14104, 'codeStr': 14104, 'name': 'Boyer- Barret -Raymond Losserand', 'dateOuverture': '2018-05-21', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 0, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 22, 'nbEDock': 0, 'latitude': '48.83329880233322', 'longitude': '2.31733839958906', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83329880233322,2.31733839958906'}",2018-05-21
Palais des Sports,"48.83347,2.28587",22,4204.0,7866,"{'code': 15107, 'codeStr': 15107, 'name': 'Palais des Sports', 'dateOuverture': '2018-06-25', 'state': 'Operative', 'nbBike': 7, 'nbEbike': 0, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 13, 'nbEDock': 0, 'latitude': '48.83346851742578', 'longitude': '2.28587206453085', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83346851742578,2.28587206453085'}",2018-06-25
Didot - Place de Moro-Giafferi,"48.83370,2.32150",22,7859.0,7866,"{'code': 14031, 'codeStr': 14031, 'name': 'Didot - Place de Moro-Giafferi', 'dateOuverture': '2018-04-05', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 20, 'nbEDock': 0, 'latitude': '48.83370000000000', 'longitude': '2.32150000000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83370000000000,2.32150000000000'}",2018-04-05
Henry Farman,"48.83372,2.27139",16,2864.0,7866,"{'code': 15042, 'codeStr': 15042, 'name': 'Henry Farman', 'dateOuverture': '2018-04-03', 'state': 'Operative', 'nbBike': 8, 'nbEbike': 4, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 4, 'nbEDock': 0, 'latitude': '48.83372430280548', 'longitude': '2.27138545364141', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83372430280548,2.27138545364141'}",2018-04-03
François Truffaut - Saint Emilion,"48.83372,2.38660",66,10798.0,7866,"{'code': 12033, 'codeStr': 12033, 'name': 'François Truffaut - Saint - Emilion', 'dateOuverture': '2018-06-28', 'state': 'Operative', 'nbBike': 57, 'nbEbike': 9, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 0, 'nbEDock': 0, 'latitude': '48.83372354344807', 'longitude': '2.38660190327143', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83372354344807,2.38660190327143'}",2018-06-28
Bois de Vincennes,"48.83381,2.41322",60,7075.0,7866,"{'code': 12041, 'codeStr': 12041, 'name': 'Bois de Vincennes', 'dateOuverture': '2018-09-17', 'state': 'Operative', 'nbBike': 5, 'nbEbike': 3, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 51, 'nbEDock': 7, 'latitude': '48.83380640000000', 'longitude': '2.41322210000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83380640000000,2.41322210000000'}",2018-09-17
Charenton - Jardiniers,"48.83382,2.39469",31,4814.0,7866,,
Vincent Auriol - Louise Weiss,"48.83400,2.37039",22,5627.0,7866,"{'code': 13049, 'codeStr': 13049, 'name': 'Vincent Auriol-Louise Weiss', 'dateOuverture': '2018-11-12', 'state': 'Operative', 'nbBike': 8, 'nbEbike': 3, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 11, 'nbEDock': 0, 'latitude': '48.83389730000000', 'longitude': '2.37016120000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83389730000000,2.37016120000000'}",2018-11-12
Cadix - Hameau,"48.83401,2.28952",37,9112.0,7866,"{'code': 15128, 'codeStr': 15128, 'name': 'Cadix - Hameau', 'dateOuverture': '2019-03-28', 'state': 'Operative', 'nbBike': 14, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 19, 'nbEDock': 0, 'latitude': '48.83434460000000', 'longitude': '2.28876590000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83434460000000,2.28876590000000'}",2019-03-28
Saint-Amand - Labrouste,"48.83410,2.30877",36,10407.0,7866,"{'code': 15040, 'codeStr': 15040, 'name': 'Saint-Amand - Labrouste', 'dateOuverture': '2018-04-10', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 2, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 32, 'nbEDock': 0, 'latitude': '48.83395161744815', 'longitude': '2.30874460190535', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83395161744815,2.30874460190535'}",2018-04-10
Tremblay - Lac des Minimes,"48.83413,2.45475",48,5649.0,7866,"{'code': 12127, 'codeStr': 12127, 'name': 'Tremblay - Lac des Minimes', 'dateOuverture': '2019-01-24', 'state': 'Operative', 'nbBike': 2, 'nbEbike': 10, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 36, 'nbEDock': 0, 'latitude': '48.83392100000000', 'longitude': '2.45124000000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83392100000000,2.45124000000000'}",2019-01-24
Pernety - Raymond Losserand,"48.83425,2.31761",32,8509.0,7866,"{'code': 14030, 'codeStr': 14030, 'name': 'Pernety - Raymond Losserand', 'dateOuverture': '2018-03-05', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 3, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 28, 'nbEDock': 0, 'latitude': '48.83425462795304', 'longitude': '2.31760933938696', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83425462795304,2.31760933938696'}",2018-03-05
Quai du Président Roosevelt - Pont Aval,"48.83439,2.26568",30,1266.0,7866,"{'code': 15311, 'codeStr': 15311, 'name': 'Quai du Président Roosevelt - Pont Aval', 'dateOuverture': '2019-03-28', 'state': 'Operative', 'nbBike': 12, 'nbEbike': 3, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 15, 'nbEDock': 0, 'latitude': '48.83373240000000', 'longitude': '2.26562190000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83373240000000,2.26562190000000'}",2019-03-28
Boulard - Daguerre,"48.83446,2.32934",45,8366.0,7802,"{'code': 14036, 'codeStr': 14036, 'name': 'Boulard - Daguerre', 'dateOuverture': '2018-04-06', 'state': 'Operative', 'nbBike': 3, 'nbEbike': 0, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 41, 'nbEDock': 0, 'latitude': '48.83442367825087', 'longitude': '2.32945896685123', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83442367825087,2.32945896685123'}",2018-04-06
Gergovie - Vercingétorix,"48.83453,2.31315",29,6987.0,7866,"{'code': 14128, 'codeStr': 14128, 'name': 'Gergovie - Vercingétorix', 'dateOuverture': '2019-03-27', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 23, 'nbEDock': 0, 'latitude': '48.83299800000000', 'longitude': '2.31606600000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83299800000000,2.31606600000000'}",2019-03-27
Olivier de Serres - Leriche,"48.83460,2.29575",25,10084.0,7866,"{'code': 15111, 'codeStr': 15111, 'name': 'Olivier de Serres-Leriche', 'dateOuverture': '2018-09-25', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 23, 'nbEDock': 2, 'latitude': '48.83453090000000', 'longitude': '2.29588870000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83453090000000,2.29588870000000'}",2018-09-25
Madagascar - Meuniers,"48.83460,2.39707",33,9323.0,7866,"{'code': 12035, 'codeStr': 12035, 'name': 'Madagascar - Meuniers', 'dateOuverture': '2018-04-12', 'state': 'Operative', 'nbBike': 10, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 20, 'nbEDock': 0, 'latitude': '48.83460464474706', 'longitude': '2.39706505089998', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83460464474706,2.39706505089998'}",2018-04-12
Square Desnouettes,"48.83477,2.28414",22,6564.0,7866,"{'code': 15061, 'codeStr': 15061, 'name': 'Square Desnouettes', 'dateOuverture': '2018-01-01', 'state': 'Operative', 'nbBike': 4, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 15, 'nbEDock': 0, 'latitude': '48.83476837934194', 'longitude': '2.28414229739467', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83476837934194,2.28414229739467'}",2018-01-01
Général Michel Bizot - Claude Decaen,"48.83481,2.40093",38,10007.0,7866,"{'code': 12039, 'codeStr': 12039, 'name': 'Général Michel Bizot - Claude Decaen', 'dateOuverture': '2018-01-31', 'state': 'Operative', 'nbBike': 19, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 18, 'nbEDock': 7, 'latitude': '48.83481262982544', 'longitude': '2.40092778812770', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83481262982544,2.40092778812770'}",2018-01-31
Edouard Vaillant - Paul-Adolphe Souriau,"48.83485,2.24795",28,4822.0,7866,"{'code': 21019, 'codeStr': 21019, 'name': 'Edouard Vaillant-Paul-Adolphe Souriau', 'dateOuverture': '2018-06-20', 'state': 'Operative', 'nbBike': 15, 'nbEbike': 2, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 10, 'nbEDock': 0, 'latitude': '48.83487177639868', 'longitude': '2.24793244503975', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83487177639868,2.24793244503975'}",2018-06-20
Bruant - Vincent Auriol,"48.83485,2.36683",25,10312.0,7866,"{'code': 13018, 'codeStr': 13018, 'name': 'Bruant - Vincent Auriol', 'dateOuverture': '2018-01-01', 'state': 'Operative', 'nbBike': 8, 'nbEbike': 0, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 17, 'nbEDock': 0, 'latitude': '48.83484845292942', 'longitude': '2.36682649962709', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83484845292942,2.36682649962709'}",2018-01-01
Arago - Glacière,"48.83486,2.34458",27,10345.0,7866,"{'code': 13002, 'codeStr': 13002, 'name': 'Arago - Glacière ', 'dateOuverture': '2018-02-21', 'state': 'Operative', 'nbBike': 3, 'nbEbike': 0, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 24, 'nbEDock': 0, 'latitude': '48.83487785877968', 'longitude': '2.34462149441242', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83487785877968,2.34462149441242'}",2018-02-21
Hôtel de Ville de Boulogne Billancourt,"48.83496,2.24168",26,6363.0,7866,"{'code': 21005, 'codeStr': 21005, 'name': 'Hôtel de Ville', 'dateOuverture': '2018-03-28', 'state': 'Operative', 'nbBike': 9, 'nbEbike': 5, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 11, 'nbEDock': 0, 'latitude': '48.83503918235941', 'longitude': '2.24170178174973', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83503918235941,2.24170178174973'}",2018-03-28
Bibliothèque Nationale de France,"48.83503,2.37602",42,9453.0,7866,"{'code': 13123, 'codeStr': 13123, 'name': 'Bibliothèque Nationale de France', 'dateOuverture': '2019-03-28', 'state': 'Operative', 'nbBike': 42, 'nbEbike': 7, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 1, 'nbEDock': 0, 'latitude': '48.83309100000000', 'longitude': '2.37870500000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83309100000000,2.37870500000000'}",2019-03-28
Maine - Liancourt,"48.83506,2.32373",27,7260.0,7866,"{'code': 14103, 'codeStr': 14103, 'name': 'Maine - Liancourt', 'dateOuverture': '2018-01-17', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 24, 'nbEDock': 0, 'latitude': '48.83506436395400', 'longitude': '2.32373144997399', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83506436395400,2.32373144997399'}",2018-01-17
Santé - Arago,"48.83508,2.34157",38,7640.0,7866,"{'code': 14113, 'codeStr': 14113, 'name': 'Santé-Arago', 'dateOuverture': '2018-07-03', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 3, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 34, 'nbEDock': 0, 'latitude': '48.83516674017094', 'longitude': '2.34159797430038', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83516674017094,2.34159797430038'}",2018-07-03
Le Brun - Gobelins,"48.83509,2.35347",48,11189.0,7866,"{'code': 13007, 'codeStr': 13007, 'name': 'Le Brun - Gobelins', 'dateOuverture': '2018-03-21', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 46, 'nbEDock': 0, 'latitude': '48.83509278782388', 'longitude': '2.35346813513375', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83509278782388,2.35346813513375'}",2018-03-21
Gabriel Lamé,"48.83512,2.38553",36,10301.0,7866,"{'code': 12031, 'codeStr': 12031, 'name': 'Gabriel Lamé', 'dateOuverture': '2018-02-20', 'state': 'Operative', 'nbBike': 30, 'nbEbike': 5, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 1, 'nbEDock': 0, 'latitude': '48.83512127842760', 'longitude': '2.38553456962109', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83512127842760,2.38553456962109'}",2018-02-20
Froidevaux - Boulard,"48.83515,2.32944",35,7436.0,7804,"{'code': 14133, 'codeStr': 14133, 'name': 'Froidevaux - Boulard', 'dateOuverture': '2019-03-28', 'state': 'Operative', 'nbBike': 2, 'nbEbike': 2, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 31, 'nbEDock': 0, 'latitude': '48.83517400000000', 'longitude': '2.32925100000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83517400000000,2.32925100000000'}",2019-03-28
