station_name,station_geo,capacity,total_activity,count,nearest_station,dateOuverture
Lebrun - Colonel Fabien ,"48.78267,2.38132",27,3026.0,7866,"{'code': 44011, 'codeStr': 44011, 'name': 'Lebrun - Colonel Fabien ', 'dateOuverture': '2019-02-05', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 5, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 21, 'nbEDock': 0, 'latitude': '48.78319600000000', 'longitude': '2.38223800000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78319600000000,2.38223800000000'}",2019-02-05
Place Aimé Césaire,"48.78319,2.24291",27,1414.0,7866,"{'code': 21402, 'codeStr': 21402, 'name': 'Place Aimé Césaire', 'dateOuverture': '2019-03-28', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 4, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 23, 'nbEDock': 0, 'latitude': '48.78332800000000', 'longitude': '2.24296400000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78332800000000,2.24296400000000'}",2019-03-28
Stalingrad - Henri Luisette,"48.78363,2.36694",26,3987.0,7866,"{'code': 48012, 'codeStr': 48012, 'name': 'Stalingrad - Henri Luisette', 'dateOuverture': '2019-08-22', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 18, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 7, 'nbEDock': 0, 'latitude': '48.78358590000000', 'longitude': '2.36702900000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78358590000000,2.36702900000000'}",2019-08-22
Youri Gagarine - Karl Marx,"48.78448,2.35908",22,2781.0,7866,"{'code': 48003, 'codeStr': 48003, 'name': 'Youri Gagarine - Karl Marx', 'dateOuverture': '2019-03-25', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 20, 'nbEDock': 0, 'latitude': '48.78463900000000', 'longitude': '2.35986400000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78463900000000,2.35986400000000'}",2019-03-25
Karl Marx,"48.78453,2.36467",16,1451.0,7866,"{'code': 48010, 'codeStr': 48010, 'name': 'Karl - Marx', 'dateOuverture': '2019-07-19', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 9, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 6, 'nbEDock': 0, 'latitude': '48.78454361312415', 'longitude': '2.36472968012094', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78454361312415,2.36472968012094'}",2019-07-19
Les Blagis,"48.78520,2.30253",27,2848.0,7866,"{'code': 23301, 'codeStr': 23301, 'name': 'Les Blagis', 'dateOuverture': '2019-01-23', 'state': 'Operative', 'nbBike': 6, 'nbEbike': 2, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 16, 'nbEDock': 0, 'latitude': '48.78520500000000', 'longitude': '2.30252600000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78520500000000,2.30252600000000'}",2019-01-23
Marc Sangnier - Division Leclerc,"48.78600,2.32996",24,3546.0,7866,"{'code': 42304, 'codeStr': 42304, 'name': 'Marc Sangnier - Division Leclerc', 'dateOuverture': '2019-03-28', 'state': 'Operative', 'nbBike': 8, 'nbEbike': 8, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 6, 'nbEDock': 0, 'latitude': '48.78598100000000', 'longitude': '2.32975300000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78598100000000,2.32975300000000'}",2019-03-28
Vanne - Saussaies,"48.78640,2.33885",20,1427.0,7866,"{'code': 42305, 'codeStr': 42305, 'name': 'Vanne 6 Saussaies', 'dateOuverture': '2019-03-28', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 4, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 15, 'nbEDock': 0, 'latitude': '48.78640400000000', 'longitude': '2.33884800000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78640400000000,2.33884800000000'}",2019-03-28
République - Auguste Perret,"48.78695,2.35186",30,1871.0,7866,"{'code': 48009, 'codeStr': 48009, 'name': 'République - Auguste Perret', 'dateOuverture': '2019-06-27', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 28, 'nbEDock': 0, 'latitude': '48.78735700000000', 'longitude': '2.35215200000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78735700000000,2.35215200000000'}",2019-06-27
Place Centrale ,"48.78740,2.22788",22,1191.0,7866,"{'code': 21951, 'codeStr': 21951, 'name': 'Place Centrale ', 'dateOuverture': '2018-08-03', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 21, 'nbEDock': 0, 'latitude': '48.78726960000000', 'longitude': '2.22796480000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78726960000000,2.22796480000000'}",2018-08-03
